Filename,Polarization,Exposure,Moon Radius (px),Sun Radius (px)
DSC_3814-Position1-cal.fits,0$^\circ$,1/3,670.0,634.61
DSC_3823-Position1-cal.fits,0$^\circ$,1/3,671.0,635.56
DSC_3832-Position1-cal.fits,0$^\circ$,1/3,671.0,635.56
DSC_3841-Position1-cal.fits,0$^\circ$,1/3,671.0,635.56
DSC_3850-Position1-cal.fits,0$^\circ$,1/3,671.0,635.56
DSC_3813-Position1-cal.fits,0$^\circ$,1/6,674.0,638.4
DSC_3822-Position1-cal.fits,0$^\circ$,1/6,674.0,638.4
DSC_3831-Position1-cal.fits,0$^\circ$,1/6,674.0,638.4
DSC_3840-Position1-cal.fits,0$^\circ$,1/6,674.0,638.4
DSC_3849-Position1-cal.fits,0$^\circ$,1/6,674.0,638.4
DSC_3812-Position1-cal.fits,0$^\circ$,1/13,675.0,639.34
DSC_3821-Position1-cal.fits,0$^\circ$,1/13,675.0,639.34
DSC_3830-Position1-cal.fits,0$^\circ$,1/13,675.0,639.34
DSC_3839-Position1-cal.fits,0$^\circ$,1/13,675.0,639.35
DSC_3848-Position1-cal.fits,0$^\circ$,1/13,675.0,639.35
DSC_3811-Position1-cal.fits,0$^\circ$,1/25,675.0,639.34
DSC_3820-Position1-cal.fits,0$^\circ$,1/25,675.0,639.34
DSC_3829-Position1-cal.fits,0$^\circ$,1/25,675.0,639.34
DSC_3838-Position1-cal.fits,0$^\circ$,1/25,675.0,639.35
DSC_3847-Position1-cal.fits,0$^\circ$,1/25,675.0,639.35
DSC_3810-Position1-cal.fits,0$^\circ$,1/50,676.0,640.29
DSC_3819-Position1-cal.fits,0$^\circ$,1/50,675.0,639.34
DSC_3828-Position1-cal.fits,0$^\circ$,1/50,675.0,639.34
DSC_3837-Position1-cal.fits,0$^\circ$,1/50,675.0,639.35
DSC_3846-Position1-cal.fits,0$^\circ$,1/50,675.0,639.35
DSC_3818-Position1-cal.fits,0$^\circ$,1/100,676.0,640.29
DSC_3827-Position1-cal.fits,0$^\circ$,1/100,675.0,639.34
DSC_3836-Position1-cal.fits,0$^\circ$,1/100,675.0,639.35
DSC_3845-Position1-cal.fits,0$^\circ$,1/100,676.0,640.29
DSC_3854-Position1-cal.fits,0$^\circ$,1/100,675.0,639.35
DSC_3817-Position1-cal.fits,0$^\circ$,1/200,676.0,640.29
DSC_3826-Position1-cal.fits,0$^\circ$,1/200,675.0,639.34
DSC_3835-Position1-cal.fits,0$^\circ$,1/200,675.0,639.35
DSC_3844-Position1-cal.fits,0$^\circ$,1/200,676.0,640.29
DSC_3853-Position1-cal.fits,0$^\circ$,1/200,676.0,640.29
DSC_3816-Position1-cal.fits,0$^\circ$,1/400,676.0,640.29
DSC_3825-Position1-cal.fits,0$^\circ$,1/400,676.0,640.29
DSC_3834-Position1-cal.fits,0$^\circ$,1/400,676.0,640.29
DSC_3843-Position1-cal.fits,0$^\circ$,1/400,675.0,639.35
DSC_3852-Position1-cal.fits,0$^\circ$,1/400,676.0,640.29
DSC_3815-Position1-cal.fits,0$^\circ$,1/800,675.0,639.34
DSC_3824-Position1-cal.fits,0$^\circ$,1/800,676.0,640.29
DSC_3833-Position1-cal.fits,0$^\circ$,1/800,676.0,640.29
DSC_3842-Position1-cal.fits,0$^\circ$,1/800,676.0,640.29
DSC_3851-Position1-cal.fits,0$^\circ$,1/800,676.0,640.29
DSC_3868-Position2-cal.fits,+60$^\circ$,1/3,666.0,630.82
DSC_3877-Position2-cal.fits,+60$^\circ$,1/3,669.0,633.67
DSC_3886-Position2-cal.fits,+60$^\circ$,1/3,669.0,633.67
DSC_3895-Position2-cal.fits,+60$^\circ$,1/3,672.0,636.51
DSC_3913-Position2-cal.fits,+60$^\circ$,1/3,669.0,633.67
DSC_3904-Position2-cal.fits,+60$^\circ$,1/3,672.0,636.51
DSC_3876-Position2-cal.fits,+60$^\circ$,1/6,675.0,639.35
DSC_3885-Position2-cal.fits,+60$^\circ$,1/6,673.0,637.45
DSC_3894-Position2-cal.fits,+60$^\circ$,1/6,675.0,639.35
DSC_3903-Position2-cal.fits,+60$^\circ$,1/6,675.0,639.35
DSC_3912-Position2-cal.fits,+60$^\circ$,1/6,675.0,639.35
DSC_3875-Position2-cal.fits,+60$^\circ$,1/13,675.0,639.35
DSC_3884-Position2-cal.fits,+60$^\circ$,1/13,675.0,639.35
DSC_3893-Position2-cal.fits,+60$^\circ$,1/13,675.0,639.35
DSC_3902-Position2-cal.fits,+60$^\circ$,1/13,675.0,639.35
DSC_3911-Position2-cal.fits,+60$^\circ$,1/13,675.0,639.35
DSC_3874-Position2-cal.fits,+60$^\circ$,1/25,675.0,639.35
DSC_3883-Position2-cal.fits,+60$^\circ$,1/25,675.0,639.35
DSC_3892-Position2-cal.fits,+60$^\circ$,1/25,675.0,639.35
DSC_3901-Position2-cal.fits,+60$^\circ$,1/25,675.0,639.35
DSC_3910-Position2-cal.fits,+60$^\circ$,1/25,675.0,639.35
DSC_3873-Position2-cal.fits,+60$^\circ$,1/50,675.0,639.35
DSC_3882-Position2-cal.fits,+60$^\circ$,1/50,675.0,639.35
DSC_3891-Position2-cal.fits,+60$^\circ$,1/50,675.0,639.35
DSC_3900-Position2-cal.fits,+60$^\circ$,1/50,675.0,639.35
DSC_3909-Position2-cal.fits,+60$^\circ$,1/50,675.0,639.35
DSC_3872-Position2-cal.fits,+60$^\circ$,1/100,675.0,639.35
DSC_3881-Position2-cal.fits,+60$^\circ$,1/100,678.0,642.19
DSC_3890-Position2-cal.fits,+60$^\circ$,1/100,677.0,641.24
DSC_3899-Position2-cal.fits,+60$^\circ$,1/100,678.0,642.19
DSC_3908-Position2-cal.fits,+60$^\circ$,1/100,676.0,640.3
DSC_3871-Position2-cal.fits,+60$^\circ$,1/200,679.0,643.14
DSC_3880-Position2-cal.fits,+60$^\circ$,1/200,678.0,642.19
DSC_3889-Position2-cal.fits,+60$^\circ$,1/200,678.0,642.19
DSC_3870-Position2-cal.fits,+60$^\circ$,1/400,678.0,642.19
DSC_3879-Position2-cal.fits,+60$^\circ$,1/400,676.0,640.3
DSC_3888-Position2-cal.fits,+60$^\circ$,1/400,678.0,642.19
DSC_3897-Position2-cal.fits,+60$^\circ$,1/400,675.0,639.35
DSC_3906-Position2-cal.fits,+60$^\circ$,1/400,678.0,642.19
DSC_3869-Position2-cal.fits,+60$^\circ$,1/800,680.0,644.08
DSC_3878-Position2-cal.fits,+60$^\circ$,1/800,678.0,642.19
DSC_3887-Position2-cal.fits,+60$^\circ$,1/800,680.0,644.08
DSC_3896-Position2-cal.fits,+60$^\circ$,1/800,676.0,640.3
DSC_3905-Position2-cal.fits,+60$^\circ$,1/800,677.0,641.24
DSC_3922-Position3-cal.fits,-60$^\circ$,1/3,672.0,636.51
DSC_3931-Position3-cal.fits,-60$^\circ$,1/3,672.0,636.51
DSC_3940-Position3-cal.fits,-60$^\circ$,1/3,672.0,636.51
DSC_3958-Position3-cal.fits,-60$^\circ$,1/3,672.0,636.51
DSC_3949-Position3-cal.fits,-60$^\circ$,1/3,672.0,636.51
DSC_3921-Position3-cal.fits,-60$^\circ$,1/6,675.0,639.35
DSC_3930-Position3-cal.fits,-60$^\circ$,1/6,675.0,639.35
DSC_3939-Position3-cal.fits,-60$^\circ$,1/6,675.0,639.35
DSC_3957-Position3-cal.fits,-60$^\circ$,1/6,675.0,639.35
DSC_3948-Position3-cal.fits,-60$^\circ$,1/6,675.0,639.35
DSC_3920-Position3-cal.fits,-60$^\circ$,1/13,675.0,639.35
DSC_3929-Position3-cal.fits,-60$^\circ$,1/13,675.0,639.35
DSC_3938-Position3-cal.fits,-60$^\circ$,1/13,675.0,639.35
