name,ra_deg,dec_deg,vmag
zet Psc A,18.43285834319,7.575359937449999,5.190000057220459
88 Psc,18.67663316746,6.995138177100001,6.021999835968018
zet Psc B,18.43856123424,7.578244529520001,6.099999904632568
HD 6568,16.65676492311,8.36004210066,6.909999847412109
HD 7529,18.889204590500004,6.95617648171,7.639999866485596
HD 6567,16.6750047195,8.86873107111,7.690000057220459
HD 7335,18.42434074868,8.97461243612,7.820000171661377
HD 6432,16.350540857499997,8.33199393735,7.920000076293945
HD 6591,16.724521931820004,8.652344072190001,7.989999771118164
HD 7541,18.90470704607,8.767925853420001,8.15999984741211
HD 7346,18.44298796221,6.881077330719999,8.479999542236328
