Filename,Exposure,Moon_XC,Moon_YC,Moon_Radius,Mean_SB
DSC_3762-Position4-cal.fits,0.0025,4674.0,2502.0,680.0,0.005297451745718718
DSC_3787-Position4-cal.fits,0.33333,4702.0,2324.0,672.0,0.1722293347120285
DSC_3653-Position4-cal.fits,0.00125,4155.0,2754.0,641.0,0.0017482630209997296
DSC_3906-Position2-cal.fits,0.0025,4865.0,1499.0,678.0,0.0011449509765952826
DSC_3676-Position4-cal.fits,0.04,4168.0,2744.0,642.0,0.012968497350811958
DSC_3722-Position4-cal.fits,0.07692,4639.0,2649.0,671.0,1.212953805923462
DSC_3692-Position4-cal.fits,0.01,4636.0,2649.0,676.0,0.2616060972213745
DSC_3678-Position4-cal.fits,0.16667,4168.0,2742.0,644.0,0.022170795127749443
DSC_3647-Position4-cal.fits,0.01,4146.0,2759.0,640.0,0.01005895808339119
DSC_3819-Position1-cal.fits,0.02,4757.0,2034.0,675.0,0.006966929882764816
DSC_3650-Position4-cal.fits,0.07692,4146.0,2757.0,643.0,0.016375675797462463
DSC_3726-Position4-cal.fits,0.0025,4652.0,2611.0,678.0,0.018691672012209892
DSC_3894-Position2-cal.fits,0.16667,4853.0,1536.0,675.0,0.05041966959834099
DSC_3840-Position1-cal.fits,0.16667,4768.0,1979.0,674.0,0.0489484965801239
DSC_3841-Position1-cal.fits,0.33333,4769.0,1974.0,671.0,0.07992863655090332
DSC_3744-Position4-cal.fits,0.0025,4630.0,2531.0,642.0,0.010997517965734005
DSC_3801-Position4-cal.fits,0.02,4709.0,2287.0,676.0,0.023967843502759933
DSC_3829-Position1-cal.fits,0.04,4762.0,2009.0,675.0,0.013729996979236603
DSC_3742-Position4-cal.fits,0.33333,4656.0,2561.0,671.0,0.7498190999031067
DSC_3710-Position4-cal.fits,0.01,4637.0,2649.0,676.0,0.2182530015707016
DSC_3702-Position4-cal.fits,0.02,4637.0,2652.0,676.0,0.4453381896018982
DSC_3694-Position4-cal.fits,0.04,4638.0,2649.0,673.0,0.8989549875259399
DSC_3895-Position2-cal.fits,0.33333,4855.0,1531.0,672.0,0.08243576437234879
DSC_3681-Position4-cal.fits,0.0025,4633.0,2654.0,681.0,0.08439215272665024
DSC_3918-Position3-cal.fits,0.02,4125.0,2401.0,573.0,0.005056902300566435
DSC_3952-Position3-cal.fits,0.005,4213.0,2378.0,667.0,0.0016521147917956114
DSC_3645-Position4-cal.fits,0.0025,4147.0,2761.0,639.0,0.0031709654722362757
DSC_3893-Position2-cal.fits,0.07692,4852.0,1538.0,675.0,0.027883466333150864
