filename,moon_xc,moon_yc,moon_radius,sun_xc,sun_yc,sun_radius,celestial_north_from_image_y
DSC_3775-Position4-cal.fits,4695.000,2357.000,675.000,4664.977,2375.071,639.343,78.000
DSC_3774-Position4-cal.fits,4694.000,2359.000,676.000,4663.933,2377.098,640.290,78.000
DSC_3773-Position4-cal.fits,4694.000,2359.000,676.000,4663.933,2377.098,640.290,78.000
DSC_3772-Position4-cal.fits,4693.000,2362.000,677.000,4662.888,2380.125,641.237,78.000
DSC_3771-Position4-cal.fits,4716.000,2359.000,697.000,4684.855,2377.902,660.181,78.000
DSC_3770-Position4-cal.fits,4710.000,2365.000,691.000,4679.123,2383.739,654.498,78.000
DSC_3778-Position4-cal.fits,4697.000,2349.000,672.000,4667.250,2366.758,636.502,78.000
DSC_3777-Position4-cal.fits,4696.000,2354.000,673.000,4666.205,2371.784,637.449,78.000
DSC_3776-Position4-cal.fits,4697.000,2356.000,674.000,4667.022,2374.044,638.396,78.000
DSC_3810-Position1-cal.fits,4714.000,2262.000,676.000,4685.331,2277.751,640.291,78.000
DSC_3811-Position1-cal.fits,4751.000,2056.000,675.000,4725.443,2066.573,639.345,78.000
DSC_3812-Position1-cal.fits,4752.000,2055.000,675.000,4726.443,2065.573,639.345,78.000
DSC_3813-Position1-cal.fits,4754.000,2054.000,674.000,4728.481,2064.558,638.398,78.000
DSC_3814-Position1-cal.fits,4754.000,2049.000,670.000,4728.771,2059.263,634.609,78.000
DSC_3815-Position1-cal.fits,4756.000,2043.000,675.000,4730.583,2053.339,639.345,78.000
DSC_3816-Position1-cal.fits,4758.000,2043.000,676.000,4732.545,2053.354,640.292,78.000
DSC_3817-Position1-cal.fits,4757.000,2039.000,676.000,4731.685,2049.120,640.292,78.000
DSC_3818-Position1-cal.fits,4758.000,2038.000,676.000,4732.685,2048.120,640.292,78.000
DSC_3819-Position1-cal.fits,4757.000,2034.000,675.000,4731.723,2044.105,639.345,78.000
DSC_3820-Position1-cal.fits,4757.000,2033.000,675.000,4731.723,2043.105,639.345,78.000
DSC_3821-Position1-cal.fits,4758.000,2030.000,675.000,4732.862,2039.870,639.345,78.000
DSC_3822-Position1-cal.fits,4759.000,2028.000,674.000,4733.899,2037.856,638.398,78.000
DSC_3823-Position1-cal.fits,4759.000,2024.000,671.000,4734.011,2033.812,635.557,78.000
DSC_3824-Position1-cal.fits,4760.000,2017.000,676.000,4734.965,2026.650,640.293,78.000
DSC_3825-Position1-cal.fits,4762.000,2016.000,676.000,4736.965,2025.650,640.293,78.000
DSC_3826-Position1-cal.fits,4761.000,2015.000,675.000,4736.002,2024.636,639.345,78.000
DSC_3827-Position1-cal.fits,4762.000,2013.000,675.000,4737.002,2022.636,639.345,78.000
DSC_3828-Position1-cal.fits,4761.000,2011.000,675.000,4736.141,2020.402,639.345,78.000
DSC_3829-Position1-cal.fits,4762.000,2009.000,675.000,4737.141,2018.402,639.345,78.000
DSC_3830-Position1-cal.fits,4763.000,2007.000,675.000,4738.141,2016.402,639.345,78.000
DSC_3831-Position1-cal.fits,4763.000,2004.000,674.000,4738.178,2013.388,638.398,78.000
DSC_3832-Position1-cal.fits,4764.000,1999.000,671.000,4739.427,2008.113,635.557,78.000
DSC_3833-Position1-cal.fits,4767.000,1993.000,676.000,4742.244,2002.181,640.293,78.000
DSC_3834-Position1-cal.fits,4767.000,1992.000,676.000,4742.384,2000.946,640.293,78.000
DSC_3835-Position1-cal.fits,4766.000,1990.000,675.000,4741.420,1998.933,639.346,78.000
DSC_3836-Position1-cal.fits,4766.000,1988.000,675.000,4741.420,1996.933,639.346,78.000
DSC_3837-Position1-cal.fits,4766.000,1986.000,675.000,4741.420,1994.933,639.346,78.000
DSC_3868-Position2-cal.fits,4812.000,1719.000,666.000,4791.602,1721.341,630.823,78.000
DSC_3869-Position2-cal.fits,4845.000,1595.000,680.000,4826.000,1594.321,644.084,78.000
DSC_3870-Position2-cal.fits,4847.000,1602.000,678.000,4828.056,1601.323,642.190,78.000
DSC_3871-Position2-cal.fits,4846.000,1597.000,679.000,4827.028,1596.322,643.137,78.000
DSC_3872-Position2-cal.fits,4843.000,1598.000,675.000,4824.279,1597.092,639.349,78.000
DSC_3873-Position2-cal.fits,4841.000,1592.000,675.000,4822.279,1591.092,639.349,78.000
DSC_3874-Position2-cal.fits,4842.000,1591.000,675.000,4823.279,1590.092,639.349,78.000
DSC_3875-Position2-cal.fits,4842.000,1585.000,675.000,4823.279,1584.092,639.349,78.000
DSC_3876-Position2-cal.fits,4844.000,1583.000,675.000,4825.279,1582.092,639.349,78.000
DSC_3877-Position2-cal.fits,4843.000,1577.000,669.000,4824.584,1575.868,633.666,78.000
DSC_3878-Position2-cal.fits,4847.000,1571.000,678.000,4828.476,1569.617,642.190,78.000
DSC_3879-Position2-cal.fits,4848.000,1574.000,676.000,4829.530,1572.621,640.296,78.000
DSC_3880-Position2-cal.fits,4849.000,1569.000,678.000,4830.476,1567.617,642.190,78.000
DSC_3881-Position2-cal.fits,4850.000,1568.000,678.000,4831.476,1566.617,642.190,78.000
DSC_3882-Position2-cal.fits,4846.000,1566.000,675.000,4827.558,1564.623,639.349,78.000
DSC_3883-Position2-cal.fits,4847.000,1564.000,675.000,4828.697,1562.389,639.349,78.000
DSC_3884-Position2-cal.fits,4848.000,1562.000,675.000,4829.697,1560.389,639.349,78.000
DSC_3885-Position2-cal.fits,4849.000,1561.000,673.000,4830.751,1559.394,637.454,78.000
DSC_3886-Position2-cal.fits,4848.000,1552.000,669.000,4829.860,1550.403,633.666,78.000
DSC_3887-Position2-cal.fits,4855.000,1549.000,680.000,4836.702,1547.141,644.085,78.000
DSC_3888-Position2-cal.fits,4854.000,1546.000,678.000,4835.756,1544.146,642.190,78.000
DSC_3889-Position2-cal.fits,4853.000,1545.000,678.000,4834.896,1542.911,642.190,78.000
DSC_3890-Position2-cal.fits,4853.000,1543.000,677.000,4834.923,1540.914,641.243,78.000
DSC_3891-Position2-cal.fits,4851.000,1541.000,675.000,4832.976,1538.920,639.349,78.000
DSC_3892-Position2-cal.fits,4852.000,1539.000,675.000,4833.976,1536.920,639.349,78.000
DSC_3893-Position2-cal.fits,4852.000,1538.000,675.000,4833.976,1535.920,639.349,78.000
DSC_3894-Position2-cal.fits,4853.000,1536.000,675.000,4835.116,1533.686,639.349,78.000
DSC_3895-Position2-cal.fits,4855.000,1531.000,672.000,4837.195,1528.696,636.507,78.000
DSC_3896-Position2-cal.fits,4857.000,1525.000,676.000,4839.229,1522.448,640.296,78.000
DSC_3897-Position2-cal.fits,4856.000,1523.000,675.000,4838.255,1520.451,639.349,78.000
DSC_3898-Position2-cal.fits,4775.000,1465.000,584.000,4759.647,1462.795,553.155,78.000
DSC_3899-Position2-cal.fits,4860.000,1520.000,678.000,4842.176,1517.440,642.191,78.000
DSC_3900-Position2-cal.fits,4856.000,1518.000,675.000,4838.395,1515.217,639.349,78.000
DSC_3901-Position2-cal.fits,4857.000,1516.000,675.000,4839.395,1513.217,639.349,78.000
DSC_3902-Position2-cal.fits,4857.000,1513.000,675.000,4839.395,1510.217,639.349,78.000
DSC_3903-Position2-cal.fits,4858.000,1511.000,675.000,4840.395,1508.217,639.349,78.000
DSC_3914-Position3-cal.fits,4188.000,2484.000,672.000,4176.996,2470.264,636.511,78.000
DSC_3915-Position3-cal.fits,4185.000,2490.000,677.000,4173.914,2476.162,641.247,78.000
DSC_3916-Position3-cal.fits,4295.000,2506.000,571.000,4285.650,2494.329,540.845,78.000
DSC_3917-Position3-cal.fits,4188.000,2493.000,676.000,4176.930,2479.183,640.300,78.000
DSC_3918-Position3-cal.fits,4125.000,2401.000,573.000,4115.735,2389.089,542.739,78.000
DSC_3919-Position3-cal.fits,4187.000,2482.000,675.000,4176.086,2467.969,639.353,78.000
DSC_3920-Position3-cal.fits,4189.000,2484.000,675.000,4178.086,2469.969,639.353,78.000
DSC_3921-Position3-cal.fits,4189.000,2480.000,675.000,4178.086,2465.969,639.353,78.000
DSC_3922-Position3-cal.fits,4190.000,2476.000,672.000,4179.273,2461.798,636.511,78.000
DSC_3923-Position3-cal.fits,4192.000,2467.000,675.000,4181.225,2452.734,639.353,78.000
DSC_3924-Position3-cal.fits,4172.000,2489.000,698.000,4160.858,2474.248,661.138,78.000
DSC_3925-Position3-cal.fits,4191.000,2466.000,676.000,4180.349,2451.479,640.300,78.000
DSC_3926-Position3-cal.fits,4192.000,2463.000,675.000,4181.365,2448.500,639.353,78.000
DSC_3927-Position3-cal.fits,4192.000,2461.000,674.000,4181.380,2446.521,638.405,78.000
DSC_3928-Position3-cal.fits,4193.000,2460.000,675.000,4182.365,2445.500,639.353,78.000
DSC_3929-Position3-cal.fits,4194.000,2459.000,675.000,4183.504,2444.266,639.353,78.000
DSC_3930-Position3-cal.fits,4194.000,2457.000,675.000,4183.504,2442.266,639.353,78.000
DSC_3931-Position3-cal.fits,4195.000,2453.000,672.000,4184.551,2438.331,636.511,78.000
DSC_3932-Position3-cal.fits,4196.000,2446.000,676.000,4185.628,2431.009,640.300,78.000
DSC_3933-Position3-cal.fits,4196.000,2446.000,677.000,4185.613,2430.987,641.247,78.000
DSC_3934-Position3-cal.fits,4196.000,2443.000,676.000,4185.628,2428.009,640.300,78.000
DSC_3935-Position3-cal.fits,4207.000,2418.000,663.000,4196.827,2403.297,627.987,78.000
DSC_3936-Position3-cal.fits,4197.000,2439.000,675.000,4186.783,2423.797,639.353,78.000
